agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"46","Landbus Bregenzerwald","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"01","ÖBB-Postbus GmbH","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"33","Landbus Unterland","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"39","Landbus Oberes Rheintal","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"40","Landbus Walgau","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"99","Landbus Vorarlberg","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"66","Landbus Großes Walsertal","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"42","AXL GmbH","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"51","Postbus Verkehrsstelle Lech","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"41","mbsBus GmbH","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"55","Ortsbus Schruns/Tschagguns","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"65","Bregenzerwald Bus GmbH","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"101","Postbus Wolfurt","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"18","Amann Reisen e.U","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"19","Breuss Reisebüro TouristikgesmbH & Co KG","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"201","Postbus Bludenz","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"71","Warth-Schröcken Tourismus","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"38","Stadtbus Bregenz","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"107","Postbus Unterland","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"29","Stadtbus Dornbirn","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"48","Stadtbus Feldkirch","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"49","Stadtbus Bludenz","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"50","OB amKumma","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"24","Ortsbus Lech (Gemeinde Lech)","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
"25","Verkehrsbetrieb LIECHTENSTEINmobil","https://www.vmobil.at/","Europe/Vienna","DE","05522/83951"
