service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"sasof","0","0","0","0","0","1","1","20260523","20260524"
"T0","1","1","1","1","1","0","0","20251214","20261212"
"T0#1","1","1","1","1","1","0","0","20260615","20260925"
"T0#2","0","0","0","0","1","0","0","20260424","20260424"
"T0#3","0","0","0","0","1","0","0","20260529","20260531"
"T0#4","0","0","0","0","1","0","0","20260619","20260620"
"T0#5","0","0","0","0","1","0","0","20260626","20260627"
"T0#6","0","0","0","0","1","0","0","20260717","20260718"
"T0#7","1","1","1","1","1","0","0","20260713","20260719"
"T0#8","1","1","1","1","1","0","0","20251214","20261212"
"T0+0b000","0","0","0","0","1","0","0","20251214","20261212"
"T0+0I-32-211-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+0k000","1","1","1","1","1","0","0","20251214","20261212"
"T0+0s","1","1","1","1","1","0","0","20251214","20261212"
"T0+0T-32-211-E-j26","0","1","1","1","1","0","0","20251214","20261212"
"T0+0U-32-211-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+0Z","0","0","0","1","1","0","0","20251214","20261212"
"T0+0z000","1","1","1","1","1","0","0","20251214","20261212"
"T0+1b","1","1","1","1","1","0","0","20251214","20261212"
"T0+1D-32-201-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+1F-32-201-E-j26","0","0","0","1","0","0","0","20251214","20261212"
"T0+1N-32-201-E-j26","0","0","0","1","1","0","0","20251214","20261212"
"T0+1O-32-201-E-j26","0","1","1","1","1","0","0","20251214","20261212"
"T0+1P-32-201-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+1Q","1","1","1","1","1","0","0","20251214","20261212"
"T0+1t","1","1","1","1","1","0","0","20251214","20261212"
"T0+1Y","1","1","1","1","1","0","0","20251214","20261212"
"T0+2412","0","0","1","0","0","0","0","20251214","20261212"
"T0+2412_","1","1","1","1","1","0","0","20251214","20261212"
"T0+2412_#1","1","1","1","1","1","0","0","20251214","20261212"
"T0+2431_","1","1","1","1","1","0","0","20251214","20261212"
"T0+2d000-17-580-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+2u000","0","0","1","1","0","0","0","20251214","20261212"
"T0+2z000","1","1","1","1","1","0","0","20251214","20261212"
"T0+3d000-17-580-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+3p","1","1","1","1","1","0","0","20251214","20261212"
"T0+3z000","1","1","1","1","1","0","0","20251214","20261212"
"T0+4l","1","1","1","1","1","0","0","20251214","20261212"
"T0+4p","1","1","1","1","1","0","0","20251214","20261212"
"T0+4q","1","1","1","1","1","0","0","20251214","20261212"
"T0+4z000","1","1","1","1","1","0","0","20251214","20261212"
"T0+52100-14-131-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+5s000-14-131-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+6d000-17-580-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+6j000","1","1","1","1","1","0","0","20251214","20261212"
"T0+6z000","1","1","1","1","1","0","0","20251214","20261212"
"T0+7a000-17-580-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+7h","1","1","1","1","1","0","0","20251214","20261212"
"T0+7z000","0","0","0","0","1","0","0","20251214","20261212"
"T0+80000","1","1","1","1","1","0","0","20251214","20261212"
"T0+81WI","1","1","1","1","1","0","0","20251214","20261212"
"T0+82100-14-131-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+8K","1","1","1","1","1","0","0","20251214","20261212"
"T0+8u000","1","1","1","1","1","0","0","20251214","20261212"
"T0+90000","1","1","1","1","1","0","0","20251214","20261212"
"T0+9c000-17-580-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+9h000","1","1","1","1","1","0","0","20251214","20261212"
"T0+9J","1","1","1","1","1","0","0","20251214","20261212"
"T0+9L","1","1","1","1","1","0","0","20251214","20261212"
"T0+9q000-14-131-E-j26","0","0","0","0","1","0","0","20251214","20261212"
"T0+a0100","0","0","0","0","1","0","0","20251214","20261212"
"T0+a1","1","1","1","1","0","0","0","20251214","20261212"
"T0+a2","1","1","1","1","1","0","0","20251214","20261212"
"T0+a2100-14-131-E-j26","0","0","0","0","1","0","0","20251214","20261212"
"T0+a3","1","1","1","1","1","0","0","20251214","20261212"
"T0+a4","1","1","1","1","1","0","0","20251214","20261212"
"T0+ai000","1","1","1","1","1","0","0","20251214","20261212"
"T0+au000","1","1","1","1","1","0","0","20251214","20261212"
"T0+b0","1","1","1","1","1","0","0","20251214","20261212"
"T0+b0100","1","1","1","1","1","0","0","20251214","20261212"
"T0+b7","1","1","1","1","1","0","0","20251214","20261212"
"T0+bu000","1","1","1","1","1","0","0","20251214","20261212"
"T0+c9","1","1","1","1","1","0","0","20251214","20261212"
"T0+ch","1","1","1","1","1","0","0","20251214","20261212"
"T0+cs000-14-131-E-j26","1","1","1","1","1","0","0","20251214","20261212"
"T0+cu","1","1","1","1","0","0","0","20251214","20261212"
"T0+cv","0","0","0","0","1","0","0","20251214","20261212"
"T0+d1100","1","1","1","1","1","0","0","20251214","20261212"
"T0+d3","1","1","1","1","1","0","0","20251214","20261212"
"T0+d3100","1","1","1","1","1","0","0","20251214","20261212"
"T0+d4","0","0","0","0","1","0","0","20251214","20261212"
