pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:48:134:5_at:48:134:3_walkway_1","at:48:134:5","at:48:134:3","1","1","60"
"at:48:134:5_at:48:134:4_walkway_1","at:48:134:5","at:48:134:4","1","1","60"
"at:48:134:5_at:48:134:1_walkway_1","at:48:134:5","at:48:134:1","1","1","60"
"at:48:134:5_at:48:134:0:7_walkway_1","at:48:134:5","at:48:134:0:7","1","1","60"
"at:48:134:4_at:48:134:3_walkway_1","at:48:134:4","at:48:134:3","1","1","60"
"at:48:134:4_at:48:134:1_walkway_1","at:48:134:4","at:48:134:1","1","1","60"
"at:48:134:4_at:48:134:0:7_walkway_1","at:48:134:4","at:48:134:0:7","1","1","60"
"at:48:134:3_at:48:134:1_walkway_1","at:48:134:3","at:48:134:1","1","1","60"
"at:48:134:3_at:48:134:0:7_walkway_1","at:48:134:3","at:48:134:0:7","1","1","60"
"at:48:134:0:7_at:48:134:1_walkway_1","at:48:134:0:7","at:48:134:1","1","1","60"
"at:48:146:9_at:48:146:8_walkway_1","at:48:146:9","at:48:146:8","1","1","120"
"at:48:146:9_at:48:146:1_walkway_1","at:48:146:9","at:48:146:1","1","1","60"
"at:48:146:8_at:48:146:6_stairs_1","at:48:146:8","at:48:146:6","2","1","60"
"at:48:146:8_at:48:146:5_stairs_1","at:48:146:8","at:48:146:5","2","1","60"
"at:48:146:7_at:48:146:3_walkway_0","at:48:146:7","at:48:146:3","1","0","60"
"at:48:146:3_at:48:146:7_walkway_0","at:48:146:3","at:48:146:7","1","0","180"
"at:48:146:7_at:48:146:4_walkway_1","at:48:146:7","at:48:146:4","1","1","120"
"at:48:146:7_at:48:146:5_walkway_1","at:48:146:7","at:48:146:5","1","1","90"
"at:48:146:6_at:48:146:1_walkway_1","at:48:146:6","at:48:146:1","1","1","60"
"at:48:146:5_at:48:146:3_walkway_1","at:48:146:5","at:48:146:3","1","1","120"
"at:48:146:5_at:48:146:4_walkway_1","at:48:146:5","at:48:146:4","1","1","120"
"at:48:146:5_at:48:146:0:2_walkway_1","at:48:146:5","at:48:146:0:2","1","1","60"
"at:48:146:5_at:48:146:0:1_walkway_1","at:48:146:5","at:48:146:0:1","1","1","60"
"at:48:146:5_at:48:146:0:4_walkway_1","at:48:146:5","at:48:146:0:4","1","1","60"
"at:48:146:4_at:48:146:3_walkway_1","at:48:146:4","at:48:146:3","1","1","120"
"at:48:146:4_at:48:146:0:2_walkway_1","at:48:146:4","at:48:146:0:2","1","1","120"
"at:48:146:4_at:48:146:0:1_walkway_1","at:48:146:4","at:48:146:0:1","1","1","120"
"at:48:146:4_at:48:146:0:4_walkway_1","at:48:146:4","at:48:146:0:4","1","1","120"
"at:48:146:3_at:48:146:0:2_walkway_1","at:48:146:3","at:48:146:0:2","1","1","120"
"at:48:146:3_at:48:146:0:1_walkway_1","at:48:146:3","at:48:146:0:1","1","1","120"
"at:48:146:3_at:48:146:0:4_walkway_1","at:48:146:3","at:48:146:0:4","1","1","120"
"at:48:146:0:2_at:48:146:0:1_walkway_1","at:48:146:0:2","at:48:146:0:1","1","1","0"
"at:48:187:4_at:48:187:3_walkway_1","at:48:187:4","at:48:187:3","1","1","120"
"at:48:187:4_at:48:187:0:2_walkway_1","at:48:187:4","at:48:187:0:2","1","1","120"
"at:48:187:4_at:48:187:0:4_walkway_1","at:48:187:4","at:48:187:0:4","1","1","120"
"at:48:187:4_at:48:187:0:1_walkway_1","at:48:187:4","at:48:187:0:1","1","1","120"
"at:48:187:4_at:48:187:1_walkway_1","at:48:187:4","at:48:187:1","1","1","180"
"at:48:187:3_at:48:187:0:2_walkway_1","at:48:187:3","at:48:187:0:2","1","1","120"
"at:48:187:3_at:48:187:0:4_walkway_1","at:48:187:3","at:48:187:0:4","1","1","120"
"at:48:187:3_at:48:187:0:1_walkway_1","at:48:187:3","at:48:187:0:1","1","1","120"
"at:48:187:3_at:48:187:1_walkway_1","at:48:187:3","at:48:187:1","1","1","180"
"at:48:187:0:2_at:48:187:1_walkway_1","at:48:187:0:2","at:48:187:1","1","1","180"
"at:48:187:0:4_at:48:187:1_walkway_1","at:48:187:0:4","at:48:187:1","1","1","180"
"at:48:187:0:1_at:48:187:1_walkway_1","at:48:187:0:1","at:48:187:1","1","1","180"
"at:48:187:0:2_at:48:187:0:4_walkway_1","at:48:187:0:2","at:48:187:0:4","1","1","0"
"at:48:233:8_at:48:233:5_stairs_1","at:48:233:8","at:48:233:5","2","1","30"
"at:48:233:8_at:48:233:6_stairs_1","at:48:233:8","at:48:233:6","2","1","30"
"at:48:233:8_at:48:233:6_walkway_1","at:48:233:8","at:48:233:6","1","1","60"
"at:48:233:8_at:48:233:0:2_stairs_1","at:48:233:8","at:48:233:0:2","2","1","30"
"at:48:233:7_at:48:233:6_walkway_1","at:48:233:7","at:48:233:6","1","1","60"
"at:48:233:5_at:48:233:4_walkway_1","at:48:233:5","at:48:233:4","1","1","60"
"at:48:233:5_at:48:233:3_walkway_1","at:48:233:5","at:48:233:3","1","1","60"
"at:48:233:5_at:48:233:1_walkway_1","at:48:233:5","at:48:233:1","1","1","60"
"at:48:233:5_at:48:233:0:2_walkway_1","at:48:233:5","at:48:233:0:2","1","1","30"
