route_id,agency_id,route_short_name,route_long_name,route_type
"at:vvv:101:","38","101","Bahnhof-Am Tannenbach-Pfänderbahn-Bahnhof","3"
"at:vvv:102:","38","102","Achsiedlung-Kloster Mehrerau-Stadion-Bahnhof","3"
"at:vvv:103:","38","103","Achsiedlung-Bahnhof Riedenburg-Mariahilf-Bahnhof","3"
"at:vvv:104:","38","104","Bahnhof-Landeskrankenhaus-Bahnhof Riedenburg-Achsiedlung","3"
"at:vvv:105:","38","105","Bahnhof-Landeskrankenhaus-Stadtwerke-Bahnhof","3"
"at:vvv:118:","33","118","Bregenz Bahnhof-Fluh","3"
"at:vvv:119:","33","119","Bregenz Bahnhof-Landeskrankenhaus-Bahnhof","3"
"at:vvv:120:","33","120","Bregenz-Lochau-Hörbranz","3"
"at:vvv:1201:","33","201","Dornbirn Bahnhof-Messequartier","3"
"at:vvv:1206:","33","206","Dornbirn Bahnhof-Am Eisweiher","3"
"at:vvv:121:","33","121","(Niederstaufen-) Hohenweiler-Hörbranz-Lochau Bahnhof","3"
"at:vvv:124:","33","124","Lochau-Hörbranz-Lochau","3"
"at:vvv:125:","33","125","Bregenz-Lochau-Hörbranz","3"
"at:vvv:126:","33","126","Lochau-Hörbranz-Hohenweiler-Niederstaufen","3"
"at:vvv:127:","33","127","Lochau-Eichenberg-Scheidegg-Lindau","3"
"at:vvv:128:","33","128","Lochau-Pfänder","3"
"at:vvv:130:","33","130","Dornbirn-Lauterach-Hard-Bregenz","3"
"at:vvv:1302:","33","302","Altach Bahnhof-Götzis Bahnhof","3"
"at:vvv:1307:","33","307","Götzis Bahnhof-Unteres Tobel-Altach Kirche","3"
"at:vvv:131:","33","131","Bregenz-Kennelbach-Wolfurt-Dornbirn","3"
"at:vvv:132:","33","132","Dornbirn-Wolfurt","3"
"at:vvv:135:","33","135","Dornbirn-A14-Lauterach-Hard-Bregenz","3"
"at:vvv:140:","33","140","Bregenz-Hard-Fußach-Höchst-Gaißau","3"
"at:vvv:141:","33","141","Bregenz-Hard Bahnhof-Fußach-Lustenau","3"
"at:vvv:145:","33","145","Bregenz-Lauterach-Hard-Lustenau Bahnhof","3"
"at:vvv:148:","33","148","Wolfurt-Lauterach-Hard","3"
"at:vvv:149:","33","149","Hard Schäfferhofstraße-Erlach-Brückenwaage","3"
"at:vvv:150:","33","150","Bregenz-Lauterach-Schwarzach-Dornbirn","3"
"at:vvv:151:","33","151","Bregenz-Wolfurt-Schwarzach-Dornbirn","3"
"at:vvv:152:","33","152","Wolfurt-Schwarzach-Dornbirn","3"
"at:vvv:158:","33","158","Wolfurt-Buch-Alberschwende","3"
"at:vvv:159:","33","159","Alberschwende-Bildstein-Schwarzach","3"
"at:vvv:160:","33","160","Dornbirn-Lustenau-Höchst-Gaißau","3"
"at:vvv:161:","33","161","Dornbirn-Lustenau","3"
"at:vvv:162:","33","162","Dornbirn-Lustenau","3"
"at:vvv:163:","33","163","Dornbirn-Lustenau Industriegebiet Nord-Höchst","3"
"at:vvv:164:","33","164","Lustenau-Lauterach-Wolfurt","3"
"at:vvv:166:","33","166","Lustenau Bahnhof-Augarten-Sportpark-Rathaus-Wiesenrain","3"
"at:vvv:167:","33","167","Lustenau Sportpark-Wiesenrain","3"
"at:vvv:168:","33","168","Lustenau Bahnhof-Sportpark-Rathaus-Wiesenrain","3"
"at:vvv:170:","33","170","Otten Areal-Spielerstraße-Hohenems Bahnhof","3"
"at:vvv:1701:","24","701","James Stubenbach","3"
"at:vvv:1702:","24","702","James Zug","3"
"at:vvv:1703:","24","703","James Zürs","3"
"at:vvv:1704:","24","704","James Oberlech","3"
"at:vvv:1705:","24","705","James Oberstubenbach","3"
"at:vvv:171:","33","171","Hohenems Otten Areal-Rossa-Bahnhof","3"
"at:vvv:174:","33","174","Hohenems Bahnhof-Rheinauen (Badebus)","3"
"at:vvv:175:","33","175","Hohenems-Emsreute-Schuttannen","3"
"at:vvv:177:","33","177","Dornbirn Bahnhof-Ebnit","3"
"at:vvv:180:","33","180","Dornbirn-Hohenems-Götzis","3"
"at:vvv:181:","33","181","Dornbirn-Hohenems-Altach-Mäder-Koblach","3"
"at:vvv:182:","33","182","Dornbirn-Hohenems-Altach-Götzis","3"
"at:vvv:1820:","01","8F2","8F2","3"
"at:vvv:184:","33","184","Hohenems-Lustenau Industriegebiet Nord","3"
"at:vvv:185:","33","185","Lustenau-Hohenms-Götzis","3"
"at:vvv:1850:","01","8F1","8F1","3"
"at:vvv:186:","33","186","Hohenems-Altach-Mäder-Götzis","3"
"at:vvv:1870:","46","870","Dornbirn Ammenegg-Bahnhof","3"
"at:vvv:201:","29","201","Dornbirn Messequartier-Schoren Bahnhof-Dornbirn Bahnhof","3"
"at:vvv:202:","29","202","Dornbirn Pfarrheim Wallenmahd-Mühlebach-Bahnhof","3"
"at:vvv:203:","29","203","Dornbirn Pfarrheim Wallenmahd-Hatlerdorf Bahnhof-Bahnhof","3"
"at:vvv:204:","29","204","Dornbirn Bahnhof-Forach-Wieden-Am Stiglbach","3"
"at:vvv:205:","29","205","Dornbirn Bahnhof-Kirche Rohrbach-Messepark","3"
"at:vvv:206:","29","206","Dornbirn Bahnhof-Im Porst-Am Eisweiher","3"
"at:vvv:207:","29","207","(Waldbad Enz-) Dornbirn Sägerbrücke-Inatura-Bahnhof","3"
"at:vvv:208:","29","208","Dornbirn Bahnhof-Am Stiglbach","3"
"at:vvv:209:","29","209","Dornbirn Bahnhof-Steinebach-Kehlegg","3"
