stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:47:1222:0:4","St. Anton a.A. Bahnhof","47.12746819","10.26663877","0078","","","Level 0","1"
"at:47:61099:0:1","St. Anton a. A. Kohlereck","47.12235842","10.25381981","0078","","","Level 0",""
"at:47:61099:0:2","St. Anton a. A. Kohlereck","47.12232175","10.25370303","0078","","","Level 0",""
"at:47:62209:0:1","St. Anton a. A. Stadle B197","47.12227285","10.24864552","0078","","","Level 0",""
"at:47:62504:0:1","St. Anton a. A. Brandli","47.12488281","10.26001819","0078","","","Level 0",""
"at:47:64938:0:1","St. Anton a. A. Terminal West","47.12656974","10.26319822","0078","","","Level 0","C"
"at:47:64938:0:4","St. Anton a. A. Terminal West","47.12658196","10.26371925","0078","","","Level 0","F"
"at:47:64939:0:2","St.Anton a.A. Schollberg","47.12155157","10.24969654","0078","","","Level 0",""
"at:47:64940:0:1","St. Anton a. A. Mooserkreuz","47.12389263","10.24795381","0078","","","Level 0","1"
"at:47:64940:0:2","St. Anton a. A. Mooserkreuz","47.12411267","10.24867247","0078","","","Level 0",""
"at:47:64942:0:1","St. Christoph a. A.","47.12790213","10.21339562","0077","","","Level 0",""
"at:47:64942:0:2","St. Christoph a. A.","47.12797547","10.21341359","0077","","","Level 0",""
"at:48:1:0:1","Bregenz Kloster Mehrerau","47.50258458","9.72063376","0010","","","Level 0",""
"at:48:1:0:2","Bregenz Kloster Mehrerau","47.50262706","9.72073257","0010","","","Level 0",""
"at:48:10:0:1","Bregenz Unter der Riedenburg","47.48767791","9.73296763","0010","","","Level 0",""
"at:48:10:0:2","Bregenz Unter der Riedenburg","47.48765363","9.73289576","0010","","","Level 0",""
"at:48:1000:0:1","Dornbirn Fallengraben","47.40612017","9.72978759","0020","","","Level 0",""
"at:48:1000:0:2","Dornbirn Fallengraben","47.40589522","9.72993132","0020","","","Level 0",""
"at:48:1003:0:1","Gisingen Ringstraße","47.25972912","9.59380062","0030","","","Level 0",""
"at:48:1003:0:2","Gisingen Ringstraße","47.25969254","9.59355808","0030","","","Level 0",""
"at:48:1004:0:1","Bartholomäberg Buxwald","47.09684505","9.88664242","0052","","","Level 0",""
"at:48:1004:0:2","Bartholomäberg Buxwald","47.09679001","9.88668734","0052","","","Level 0",""
"at:48:1005:0:1","Gisingen Rüttenenstraße","47.26450868","9.59486962","0030","","","Level 0",""
"at:48:1005:0:2","Gisingen Rüttenenstraße","47.26439286","9.59509420","0030","","","Level 0",""
"at:48:1006:0:1","Gisingen Sägerstraße","47.25760135","9.58786276","0030","","","Level 0",""
"at:48:1006:0:2","Gisingen Sägerstraße","47.25757087","9.58797954","0030","","","Level 0",""
"at:48:1008:0:1","Dornbirn Blumenegg","47.40001573","9.74321740","0020","","","Level 0",""
"at:48:1008:0:2","Dornbirn Blumenegg","47.40005221","9.74327130","0020","","","Level 0",""
"at:48:1011:0:1","Gisingen Schufla","47.26184462","9.60030443","0030","","","Level 0",""
"at:48:1011:0:2","Gisingen Schufla","47.26174098","9.60043917","0030","","","Level 0",""
"at:48:1013:0:1","Gisingen Sebastianplatz","47.25895484","9.59770829","0030","","","Level 0",""
"at:48:1013:0:2","Gisingen Sebastianplatz","47.25894875","9.59752863","0030","","","Level 0",""
"at:48:1014:0:1","Göfis Agasella","47.24387546","9.64435781","0037","","","Level 0",""
"at:48:1014:0:2","Göfis Agasella","47.24392425","9.64433984","0037","","","Level 0",""
"at:48:1015:0:1","Göfis Badida","47.24232642","9.63622805","0037","","","Level 0",""
"at:48:1015:0:2","Göfis Badida","47.24249719","9.63636280","0037","","","Level 0",""
"at:48:1016:0:1","Göfis Kapetsch","47.24171046","9.62417266","0037","","","Level 0",""
"at:48:1016:0:2","Göfis Kapetsch","47.24163727","9.62381334","0037","","","Level 0",""
